AIU,AFRICA INTERNATIONAL UNIVERSITY
ANU,AFRICA NAZARENE UNIVERSITY
BARA,"UNIVERSITY OF EASTERN AFRICA, BARATON"
BARINGO,BARINGO TECHNICAL COLLEGE
BONDO TTI,BONDO TECHNICAL TRAINING INSTITUTE
BUMBE TTI,BUMBE TECHNICAL TRAINING INSTITUTE
BUSHIANGALA TTI,BUSHIANGALA TECHNICAL TRAINING INSTITUTE
CIT,COAST INSTITUTE OF TECHNOLOGY
COPUCK,CO-OPERATIVE UNIVERSITY COLLEGE OF KENYA
CU,CHUKA UNIVERSITY
CUEA,THE CATHOLIC UNIVERSITY OF EAST AFRICA
DAYSTAR,DAYSTAR UNIVERSTY
DeKUT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY
ELDO POLY,ELDORET POLYTECHNIC
EMINING TTI,EMINING TECHNICAL TRAINING INSTITUTE
EU,EGERTON UNIVERSITY
EUC,EMBU UNIVERSITY COLLEGE
FCK,FRIENDS COLLEGE KAIMOSI
GLUK,GREAT LAKES UNIVERSITY OF KISUMU
GRESTA,GRETSA UNIVERSITY
GUC,GARISSA UNIVERSITY COLLEGE
GUSII TI,GUSII INSTITUTE OF TECHNOLOGY
ILU,INTERNATIONAL LEADERSHIP UNIVERSITY
JKUAT,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY
JOOUST,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY
KABETE TTI,KABETE TECHNICAL TRAINING INSTITUTE
KABU,KABARAK UNIVERSITY
KAFUCO,KAIMOSI FRIENDS UNIVERSITY COLLEGE
KAGUMO TTC,KAGUMO TEACHERS TRAINING COLLEGE
KAREN TTI,KAREN TECHNICAL TRAINING INSTITUTE FOR THE DEAF
KARU,KARATINA UNIVERSITY
KBBU,KIBABII UNIVERSITY
KCA,KCA UNIVERSITY
KeMU,KENYA METHODIST UNIVERSITY
KEROKA TTI,KEROKA TECHNICAL TRAINING INSTITUTE
KHEU,KENYA HIGHLANDS EVANGELICAL UNIVERSITY
KIBABII TTC,KIBABII DIPLOMA TEACHERS TRAINING COLLEGE
KIHBT,KENYA INSTITUTE OF HIGHWAYS AND BUILDING TECHNOLOGY
KIIRUA TTI,KIIRUA TECHNICAL TRAINING INSTITUTE
KIST,KIAMBU INSTITUTE OF SCIENCE AND TECHNOLOGY
KISTVC,KISIWA TECHNICAL TRAINING INSTITUTE
KITALE TTI,KITALE TECHNICAL TRAINING INSTITUTE
KMTC,KENYA MEDICAL TRAINING COLLEGE
KSM POLY,KISUMU POLYTECHNIC
KSU,KISII UNIVERSITY
KTTC,KENYA TECHNICAL TEACHERS COLLEGE
KU,KENYATTA UNIVERSITY
KUCCPS,KUCCPS
KWSTI,KENYA WILDLIFE SERVICE TRAINING INSTITUTE
KWUST,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY
KYUC,KIRINYAGA UNIVERSITY COLLEGE
LU,LAIKIPIA UNIVERSITY
LUGARI TTC,LUGARI DIPLOMA TEACHERS TRAINING COLLEGE
LUKENYA,LUKENYA UNIVERSITY
MAASAI TTI,MAASAI TECHNICAL TRAINING INSTITUTE
MARIST,MARIST INTERNATIONAL UNIVERSITY COLLEGE
