code,post_office
50413,Adungosi
30101,Ainabkoi
40140,Aluor
50403,Amukura
40616,Anyiko
30708,Arror
20113,Bahati
50316,Banja
30306,Baraton
30408,Bartolimo
226,Bibirioni
50206,Bokoli
40601,Bondo
30702,Bugar
50417,Bukiri
50404,Bumala
50301,Bunyore
515,Buru Buru
50405,Butula
50302,Chamakhanga
20138,Chebara
30125,Chebororwa
20222,Chemamul
40116,Chemelil
30207,Chepchoina
30129,Chepkorio
50201,Cheptais
30709,Cheptongei
30712,Chesoi
90219,Chuluni
200,City Square
70103,Dadaab
40117,Daraja Mbili
80104,Docks
50213,Dorofu
610,Eastleigh
70301,El Wak
30100,Eldoret
50429,Elugulu
501,Embakasi
50314,Emuhaya
30201,Endebess
30122,Equator
40208,Etago
50406,Funyula
60119,Gachoka
1005,Gakoe
80205,Ganze
10212,Gatara
240,Gathugu
10115,Gatondo
1030,Gatundu
1013,Gatura
40503,Gesima
10108,Giakanja
10213,Gikoe
50304,Gisambai
1032,Githumu
1003,Gituamba
20411,Gorgor
70201,Habaswein
40640,Hawinga
40300,Homa Bay
40209,Igare
20307,Igwamiti
90135,Ikalaasa
40501,Ikonge
214,Ilasit
50113,Indechero
40414,Isibania
50114,Isulu
40406,Agenga
40114,Akado
50414,Alupe
40136,Andingo
40617,Anyuongi
40309,Asumbi
80210,Bamba
50411,Bar Ober
10302,Baricho
30411,Barwesa
1101,Bissil
20400,Bomet
40620,Boro
50416,Buhuyi
50105,Bukura
50418,Bumutiru
70104,Bura Tana
50400,Busia
20229,Butyo
80102,Changamwe
30706,Chebiemit
20226,Chebunyo
20407,Chemaner
30206,Chemiron
20216,Chepkemel
30308,Chepkunyuk
20410,Cheptalal
50243,Chesamisi
60401,Chogoria
80314,Chumvini
80103,Coast General Hospital
40112,Dago
40331,Dede
10401,Dol Doi
40621,Dudi
20115,Egerton University
20102,Elburgon
30124,Eldoret Airport
90121,Emali
60100,Embu
10107,Endarasha
40703,Enosaen
50303,Eregi
80501,Faza
10210,Gacharageini
60209,Gaitu
10211,Gakurwe
70100,Garissa
10112,Gatarakwa
10113,Gathuthi
10305,Gatugura
60216,Gatunga
80208,Gede
40201,Gesusu
10117,Gichichi
20116,Gilgil
903,Githiga
216,Githunguri
10209,Gitugi
40313,Got Oyaro
50407,Hakati
612,Highridge
30109,Huruma
1006,Igegania
10118,Ihururu Market
40415,Ikerege
90207,Ikutha
50111,Ileho
80310,Iriwa
1102,Isinya
30700,Iten
40101,Ahero
40139,Akala
50244,Amagoro
50412,Angurai
40618,Aram
40115,Awach Bridge
80101,Bamburi
20601,Baragoi
30409,Bartabwa
40619,Bay
20409,Boito
20101,Bondeni
50415,Budalangi
50233,Bukebe
50109,Bulimbo
50200,Bungoma
30102,Burnt Forest
50101,Butere
50210,Buyofu
50317,Chavakali
20215,Cheborge
20401,Chebunyo
40143,Chemase
30605,Chepareria
20137,Chepkiswet
30309,Chepsonoi
30121,Chepterwai
20217,Chesinendet
60400,Chuka
50202,Chwele
201,Community
516,Dandora
80401,Diani Beach
1027,Donyo Sabuk
20118,Dundori
90139,Ekalakala
20103,Eldama Ravine
20119,Elementaita
50110,Emarinda
20140,Emining
90206,Endau
500,Enterprise Road
620,Esso Plaza
20209,Fort Ternan
238,Gachika
10111,Gakindu
50318,Gambogi
80201,Garsen
239,Gathiruini
10114,Gatitu
1028,Gatukuyu
60404,Gatunga
40312,Gembe
10116,Giakaibei
601,Gigiri
40407,Giribe
60205,Githongo
60212,Gitimene
80206,Gongoni
70202,Griftu
50312,Hamisi
70101,Hola
10227,Ichichi
60402,Igoji
90120,Iiani Yi Mang'Ulu
904,Ikinu
60405,Ikuu
50112,Imanga
60102,Ishiara
60300,Isiolo
1015,Ithanga
40504,Itibo
622,Juja Road
90205,Kabati
602,Kabete
20139,Kabimoi
50214,Kabula
40223,Kadongo
10307,Kagumo
20304,Kaheho
10214,Kahuti
50305,Kaimosi
10215,Kairo
50419,Kakemer
30501,Kakuma
90122,Kalamba
1001,Kalimoni
20218,Kamaget
10216,Kamberua
607,Kamiti
50216,Kamukuywa
20132,Kamwaura
1034,Kandara
10218,Kangari
60603,Kangeta
60118,Kanja
60206,Kanyakine
60106,Kanyuambora
20413,Kapcherany
30410,Kapedo
20214,Kapkatet
20414,Kapkesosio
30111,Kapngetuny
20211,Kapsoit
30313,Kapsumbeiwa
30710,Kaptalamwa
20221,Kaptebengwet
60105,Karaba
10120,Karemeno
60107,Karingari
10308,Karumandi
60117,Karurumo
90123,Kasikeu
90302,Kathonzweni
40118,Katito
90107,Kaviani
40506,Kebirigo
40515,Kegogi
40301,Kendu Bay
609,Kenyatta University
40202,Keroka
30215,Kesogon
50104,Khayega
10122,Kiamariga
224,Kiambururu
10309,Kiamutuga
60602,Kianjai
10124,Kiawarigi
60201,Kibirichia
60112,Kibugu
10203,Kigumo
60207,Kiirua
902,Kikuyu
30315,Kilibwoni
50315,Kilingili
10140,Kimathi Way
30209,Kiminini
30128,Kimwarer
227,Kinari
60211,Kionyo
50241,Kipkarren River
20416,Kiplelji
30402,Kiptagich
20208,Kiptugumo
40210,Itumbe
30400,Kabarnet
20120,Kabatini
20201,Kabianga
30303,Kabiyet
30601,Kacheliba
10119,Kagicha
1033,Kagunduini
10206,Kahuhia
30606,Kaibichbich
30604,Kainuk
1100,Kajiado
30216,Kakibora
50115,Kakunga
90306,Kalamba
30502,Kalokol
10217,Kamahuha
50116,Kambiri
20121,Kampi Ya Moto
50408,Kamuriai
30113,Kamwosor
40304,Kandiege
10202,Kangema
1008,Kangoo
1004,Kanjuku
10220,Kanyenyaini
90208,Kanziko
30204,Kapcherop
30600,Kapenguria
20219,Kapkelek
20415,Kapkoros
30300,Kapsabet
50203,Kapsokwony
20207,Kapsuser
50234,Kaptama
30312,Kaptel
10101,Karatina
502,Karen
615,Kariobangi
40401,Karungu
608,Kasarani
90106,Katangi
60406,Kathwana
90404,Katse
90405,Kavuti
20220,Kedowa
40416,Kegonga
202,Kenyatta Hospital
40211,Kenyenya
10300,Kerugoya
40212,Keumbu
50306,Khumusalaba
60109,Kiambere
40213,Kiamokama
236,Kiamwangi
60111,Kianjokoma
237,Kibicho
10141,Kibirigwi
90137,Kibwezi
10207,Kihoya
220,Kijabe
90305,Kilala
80108,Kilifi
10125,Kimahuri
10310,Kimbimbi
30120,Kimoning
20320,Kinamba
1031,Kindaruma
80116,Kipevu
20202,Kipkelion
30203,Kipsaina
20133,Kiptangwanyi
20131,Kirengeti
50319,Jebrok
30401,Kabartonjo
20114,Kabazi
30130,Kabiemit
20412,Kaboson
40314,Kadel
10306,Kagio
223,Kagwe
10201,Kahuro
30310,Kaiboi
1007,Kairi
50100,Kakamega
80209,Kakoneni
1014,Kakuzi
90126,Kalawa
80105,Kaloleni
20134,Kamara
10226,Kambiti
30406,Kampi Ya Samaki
90403,Kamuwongo
40315,Kanam
50215,Kanduyi
625,Kangemi
90115,Kangundo
20309,Kanyaagia
1011,Kanyoni
30304,Kapcheno
30311,Kapchorwa
50232,Kapkateny
30119,Kapkenda
20206,Kapkugerwet
30208,Kapsara
30705,Kapsowar
30114,Kaptagat
30701,Kaptarakwa
30711,Kapteren
233,Karatu
10121,Karima
40505,Karota
219,Karuri
80307,Kasigau
90105,Kathiani
30508,Katilu
90217,Katutu
10219,Kaweru
20501,Keekorok
40413,Kehancha
203,Kenyatta International Confere
20200,Kericho
906,Kerwa
60108,Kevote
50135,Khwisero
900,Kiambu
60110,Kiamuringa
10123,Kiandu
10301,Kianyaga
40119,Kibigori
40120,Kibos
