similar_code,uni_code,prog_code,course_name,2016_cut_off,2015_cut_off,2014_cut_off
101,UON,1263101,Bachelor of Arts,,28.547,25
101,KU,1111101,Bachelor of Arts,,29.97,32.142
101,MU,1253101,Bachelor of Arts,,28.97,28.318
101,MU,1253201,Bachelor of Arts (With Education),,23,29.777
101,EU,1057101,Bachelor of Arts,,30.026,28.398
101,MSU,1229101,Bachelor of Arts (With IT),,23,31.327
101,CU,1105101,Bachelor of Arts,,30.991,28.745
101,KSU,1087101,Bachelor of Arts,,31.918,31.289
101,SEKU,1166101,Bachelor of Arts,,23,
101,MCKUC,1170101,Bachelor of Arts,,23,28.498
102,UON,1263102,Bachelor of Architectural Studies/bachelor of Architecture,,45.341,45.328
102,KU,1111102,Bachelor of Architecture,,44.129,
102,TUK,1112102,Bachelor of Architectural Studies/bachelor of Architecture,,43.429,44.448
102,TUM,1063102,Bachelor of Architectural Studies/bachelor of Architecture,,40.958,
102,TUM,1063702,Diploma in Architecture,,4,
102,ELDO POLY,1237702,Diploma in Architecture,,5,4
102,KABETE TTI,1064702,Diploma in Architecture,,4,4
102,KIHBT,1445702,Diploma in Architecture,,4,4
102,KIST,1075702,Diploma in Architecture,,4,4
102,RIFT VALLEY TTI,1100702,Diploma in Architecture,,4,5
102,THIKA TTI,1269702,Diploma in Architecture,,4,6
103,UON,1263103,Bachelor of Quantity Surveying,,44.861,44.742
103,JKUAT,1249103,Bachelor of Quantity Surveying,,44.5,44.409
103,TUK,1112104,Bachelor of Science (Quantity Surveying),,43.58,43.983
103,TUM,1063703,Diploma in Quantity Surveying,,4,
103,KIHBT,1445703,Diploma in Quantity Surveying,,4,5
103,KIST,1075703,Diploma in Quantity Surveying,,4,4
103,KITALE TTI,1101703,Diploma in Quantity Surveying,,5,
103,OL'LESSOS TTI,1104703,Diploma in Quantity Surveying,,4,5
103,RIAT,1241703,Diploma in Quantity Surveying,,5,4
103,RTI,1106703,Diploma in Quantity Surveying,,4,4
103,SIGALAGAL TTI,1084703,Diploma in Quantity Surveying,,4,5
103,SIST,1216703,Diploma in Quantity Surveying,,4,10
103,THIKA TTI,1269703,Diploma in Quantity Surveying,,4,4
103,WOTE TTI,1243703,Diploma in Quantity Surveying,,6,8
